chain,platform,operation,execution_effect,decode_status,minute_index,minute_utc,record_count,distinct_transactions,coverage
base,Clanker,creation,no_observed_record,no_decoded_records,2,2026-09-14T12:02:00+00:00,0,0,observed_decoder_subset
base,Clanker,trade,no_observed_record,no_decoded_records,2,2026-09-14T12:02:00+00:00,0,0,observed_decoder_subset
base,Clanker,curve_complete,not_applicable,mechanism_not_applicable,2,2026-09-14T12:02:00+00:00,,,mechanism_not_applicable
base,Clanker,migration,not_applicable,mechanism_not_applicable,2,2026-09-14T12:02:00+00:00,,,mechanism_not_applicable
base,Clanker,pool_initialization,no_observed_record,no_decoded_records,2,2026-09-14T12:02:00+00:00,0,0,observed_decoder_subset
base,Clanker,liquidity_add,no_observed_record,no_decoded_records,2,2026-09-14T12:02:00+00:00,0,0,observed_decoder_subset
base,Clanker,liquidity_remove,no_observed_record,no_decoded_records,2,2026-09-14T12:02:00+00:00,0,0,observed_decoder_subset
base,Clanker,creation,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
base,Clanker,trade,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
base,Clanker,curve_complete,not_applicable,mechanism_not_applicable,3,2026-09-14T12:03:00+00:00,,,mechanism_not_applicable
base,Clanker,migration,not_applicable,mechanism_not_applicable,3,2026-09-14T12:03:00+00:00,,,mechanism_not_applicable
base,Clanker,pool_initialization,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
base,Clanker,liquidity_add,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
base,Clanker,liquidity_remove,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
base,Clanker,creation,no_observed_record,no_decoded_records,4,2026-09-14T12:04:00+00:00,0,0,observed_decoder_subset
base,Clanker,trade,no_observed_record,no_decoded_records,4,2026-09-14T12:04:00+00:00,0,0,observed_decoder_subset
base,Clanker,curve_complete,not_applicable,mechanism_not_applicable,4,2026-09-14T12:04:00+00:00,,,mechanism_not_applicable
base,Clanker,migration,not_applicable,mechanism_not_applicable,4,2026-09-14T12:04:00+00:00,,,mechanism_not_applicable
base,Clanker,pool_initialization,no_observed_record,no_decoded_records,4,2026-09-14T12:04:00+00:00,0,0,observed_decoder_subset
base,Clanker,liquidity_add,no_observed_record,no_decoded_records,4,2026-09-14T12:04:00+00:00,0,0,observed_decoder_subset
